1	289.4375	5121.4375	619325	3572600	1558.8
3	339.34375	2874.03125	624025	3594537.5	1499
5	821.03125	36.03125	635675	3621575	1818
6	788.6875	147.0625	635037.5	3620550	1785
7	5206.695313	989.0703125	690200	3605575	1981.7
10	1798.59375	3239.59375	642550	3588675	1485
12	2148.5625	3143.5625	647287	3589075	1481
15	894.734375	3227.203125	630737.5	3590212.5	1495
16	319.984375	2871.328125	623765	3594592.5	1499
20	4507.375	447.125	682487.5	3611937	2022
22	2793.96875	2039.09375	657675	3598912.5	1607.6
24	626.53125	642.40625	631950	3615950	1670.9
25	1051.9375	938.5625	637013	3612387.5	1646.8
27	2777.78125	459.59375	660450	3614425	1915.4
28	2767.71875	518.21875	660230	3613862.5	1900.3
33	4440.296875	2157.015625	678412.5	3595250	1698.9
37	554.484375	5227.015625	622650	3571150	1550
39	333.90625	4050.40625	621837.5	3583020	1529.8
40	1974.90625	3540.03125	644335	3585450	1481.22
31	5549.03125	664.96875	695050	3608250	2027.8
19	380.1875	1645.0625	626787.5	3606512	1535
2	2749.984375	3115.015625	655105	3588425	1479
17	754.25	13.25	634837.5	3621912.5	1815
38	127.9375	5089.5625	617225	3573160	1571
34	5379.9375	3531.3125	687565	3580355	1544.8
18	1345.25	3522.75	636125	3586600	1490
26	3633.1875	1950.0625	668612.5	3598500	1688.4
29	2897.78125	514.46875	661895	3613700	1931.6
23	1676.96875	1321.28125	644525	3607670	1639.5
30	4252.9375	439.3125	679337.5	3612387.5	2073.7
4	309.4453125	2849.320313	623675	3594825	1499
36	820.3125	5205.9375	626212.5	3570925	1544
35	1526.34375	5422.40625	635125	3567700	1566
21	4856.015625	2203.984375	683525	3594175	1705
13	1803.1875	2842.4375	643350	3592555	1483.5
14	865.34375	3190.40625	630425	3590612	1495
11	2079.15625	3176.28125	646330	3588856.3	1482
8	4494.9375	4118.1875	675450	3575920	1450
